,Name,Processor,RAM,Operating System,Storage,Display,Price
223,ASUS TUF Gaming,Intel Core i7,8,64,1,39.62,91990
224,ASUS Core i5,Intel Core i5,8,64,1,33.78,56990
225,DELL Inspiron Core,Intel Core i7,8,64,512,35.56,95825
226,Lenovo IdeaPad Core,Intel Core i3,8,64,512,15.6,43990
227,ASUS ROG Strix,AMD Ryzen 7,16,64,256,39.62,139990
228,MSI GL65 Leopard,AMD Ryzen 5,16,64,1,39.62,109990
229,Lenovo Ideapad 3,Intel Core i5,4,64,512,39.62,45990
230,DELL XPS 13,AMD Ryzen 5,16,64,1,39.62,114990
231,Lenovo Ideapad 5,Intel Core i5,8,64,512,39.62,60990
232,Lenovo Yoga Slim,Intel Core i5,8,64,256,39.62,77990
233,HP Pavilion Gaming,Intel Core i7,8,64,512,35.56,75290
234,Lenovo IdeaPad Core,Intel Core i5,8,64,1,39.62,62690
235,ASUS Ryzen 5,Intel Core i5,4,64,1,33.78,43990
236,ASUS ExpertBook P2,Intel Core i5,8,64,512,33.78,86990
237,HP Omen Core,Intel Core i5,8,64,256,39.62,102551
238,Avita Liber Core,AMD Ryzen 5,8,64,512,35.56,40890
239,Avita Liber V14,Intel Core i7,8,64,1,39.62,38990
240,HP Omen Core,AMD Ryzen 5,8,64,512,39.62,96490
241,Lenovo Ideapad S145,Intel Core i7,8,64,1,39.62,43990
242,ASUS ROG Strix,Intel Core i3,8,64,1,33.78,64990
243,MICROSOFT Surface Laptop,Intel Core i7,8,64,1,33.78,89990
244,Lenovo ThinkPad E14,Intel Core i5,8,64,512,35.56,53990
245,acer Predator Helios,Intel Core i5,16,64,128,39.62,116990
246,Lenovo Ideapad S145,Intel Core i7,4,64,256,39.62,36990
247,Lenovo Ideapad S145,AMD Ryzen 7,8,64,1,39.62,44999
248,MSI Core i7,Intel Core i7,16,64,1,39.62,158990
249,ASUS ExpertBook B9,AMD Ryzen 7,16,64,1,39.62,154990
250,acer ConceptD 5,Intel Core i5,8,64,256,33.78,99500
251,acer ConceptD 5,Intel Core i7,16,64,1,39.62,114427
252,MSI GL65 Leopard,Intel Core i5,16,64,512,35.56,109990
253,Lenovo Ideapad Gaming,Intel Core i5,8,64,1,35.56,67999
254,MSI GS Core,Intel Core i5,16,64,1,35.56,149990
255,HP Core i3,Intel Core i5,8,64,512,39.62,41990
256,Lenovo Ideapad 5,Intel Core i5,8,64,512,35.56,60990
257,ASUS ExpertBook B9,Intel Core i7,8,64,512,39.62,132790
258,Lenovo Ideapad 3,Intel Core i5,8,64,512,39.62,69890
259,Lenovo Ideapad S145,Intel Core i5,8,64,512,35.56,43990
260,acer Swift 3,Intel Core i3,8,64,1,35.56,59434
261,acer Aspire 5,Intel Core i5,8,64,1,35.56,61990
262,Avita Liber Core,Intel Core i5,8,64,1,39.62,38476
263,acer Predator Helios,Intel Core i7,16,64,256,39.62,116990
264,DELL Inspiron 7000,Intel Core i7,8,64,1,39.62,89149
265,HP Spectre x360,Intel Core i5,8,64,256,34.29,151133
266,ASUS Vivobook Core,Intel Core i5,8,64,1,35.56,60970
267,Lenovo IdeaPad Core,AMD Ryzen 5,8,64,512,39.62,43990
268,ASUS ExpertBook P1,Intel Core i7,4,64,256,39.62,61249
269,ASUS VivoBook 15,Intel Core i7,8,64,512,39.62,46990
270,DELL Inspiron Core,Intel Core i5,8,64,256,43.94,109729
271,MSI GP65 Leopard,Intel Core i5,16,64,1,35.56,104990
272,HP Envy Core,Intel Core i5,8,64,256,35.56,78990
273,HP Pavilion Core,Intel Core i5,8,64,512,39.62,94543
274,HP Pavilion Gaming,Intel Core i7,8,64,1,39.62,64690
275,MSI GL65 Leopard,Intel Core i7,16,64,512,39.62,109990
276,DELL Inspiron Core,Intel Core i5,8,64,1,39.62,76990
277,Lenovo ThinkPad Core,Intel Core i5,8,64,1,39.62,68968
278,Lenovo IdeaPad Core,Intel Core i3,8,64,1,35.56,62690
279,ASUS VivoBook Ultra,Intel Core i7,8,64,512,35.56,58990
280,MSI Prestige 15,Intel Core i5,16,64,512,35.56,99990
281,MSI Summit E15,Intel Core i5,16,64,512,39.62,154990
282,Lenovo Ideapad S145,AMD Ryzen 3,8,64,1,39.62,43990
283,acer Swift 3,Intel Core i3,8,64,512,39.62,64990
284,Nexstgo Core i5,Intel Core i9,16,64,1,33.78,97990
285,Lenovo ThinkPad E15,Intel Core i7,4,64,1,39.62,45990
286,acer Predator Helios,Intel Core i5,16,64,512,35.56,116990
287,Lenovo ThinkPad Core,Intel Core i7,16,64,512,39.62,147000
288,Nexstgo Core i5,Intel Core i7,8,64,256,35.56,79990
289,Lenovo Ideapad 3,Intel Core i5,4,64,1,33.78,30990
290,ALIENWARE Core i9,Intel Core i5,32,64,256,35.56,319990
291,ALIENWARE Core i7,Intel Core i7,16,64,1,35.56,174990
292,MSI GL65 Leopard,Intel Core i5,16,64,1,33.78,109990
293,Lenovo ThinkPad Core,Intel Core i3,16,64,1,15.6,174527
294,Lenovo IdeaPad Gaming,Intel Core i7,8,64,1,39.62,63990
295,Lenovo IdeaPad Core,Intel Core i5,8,64,512,33.78,62690
296,MSI GL Core,Intel Core i5,8,64,1,39.62,79990
297,HP 12b Celeron,AMD Ryzen 5,4,64,512,39.62,29990
298,Vaio SE Series,Intel Core i7,8,64,512,39.62,59990
299,DELL Inspiron Core,Intel Core i7,16,64,512,33.78,108790
300,HP Pavilion 13,Intel Core i7,8,64,512,39.62,73990
301,Lenovo Ideapad S145,Intel Core i5,8,64,512,35.56,43990
302,Vaio E Series,Intel Core i3,8,64,256,35.56,50990
303,Lenovo Legion 7i,Intel Core i5,16,64,1,39.62,229999
304,DELL G3 Core,AMD Ryzen 7,8,64,512,39.62,74990
305,acer Predator Helios,Intel Core i5,16,64,1,39.62,116990
306,Lenovo ThinkPad E15,Intel Core i7,8,64,1,35.56,67990
307,Lenovo IdeaPad 5,Intel Core i5,16,64,1,35.56,85999
308,ASUS ZenBook Flip,Intel Core i7,8,64,512,39.62,94990
309,Lenovo IdeaPad Core,Intel Core i5,8,64,512,39.62,43990
310,ASUS VivoBook Ultra,Intel Core i7,8,64,512,33.78,58990
311,ASUS Zephyrus G14,Intel Core i5,16,64,256,35.56,202990
312,ASUS ZenBook Duo,Intel Core i3,8,64,1,39.62,91990
313,MSI GP65 Leopard,AMD Ryzen 7,16,64,1,35.56,104990
314,DELL Inspiron Core,Intel Core i5,8,64,512,39.62,64888
315,Lenovo Ideapad 720S,Intel Core i9,8,64,1,39.62,86000
316,HP 14s Core,Intel Core i3,8,64,512,35.56,58990
317,MSI GL65 Leopard,Intel Core i5,16,64,512,39.62,109990
318,Lenovo IdeaPad Core,Intel Core i7,8,64,1,33.78,57990
319,ASUS Vivobook 14,Intel Core i5,4,64,1,39.62,34990
320,Lenovo Ideapad 5,Intel Core i5,8,64,512,35.56,60990
321,HP Spectre x360,Intel Core i3,8,64,1,35.56,151133
322,Lenovo Ideapad 3,Intel Core i7,4,64,256,39.62,38990
323,Avita Liber Core,Intel Core i7,8,64,1,30.48,40890
324,ASUS VivoBook 15,Intel Core i5,8,64,1,35.56,46990
325,Lenovo Ideapad 3,Intel Core i3,8,64,128,33.78,37990
326,HP Envy Core,Intel Core i7,4,64,1,39.62,78990
327,ASUS ASUS TUF,Intel Core i5,8,64,1,39.62,129990
328,acer Predator Helios,Intel Core i5,16,64,1,39.62,116990
329,acer Swift 5,Intel Core i5,8,64,512,39.62,68999
330,Lenovo Celeron Dual,Intel Core i5,8,64,1,39.62,25999
331,Lenovo IdeaPad Core,Intel Core i5,4,64,256,39.62,43990
332,Lenovo Yoga Slim,AMD Ryzen 7,8,64,512,33.78,117990
333,DELL Inspiron Core,Intel Core i5,16,64,128,35.56,76990
334,Lenovo ThinkPad Core,Intel Core i3,8,64,256,35.56,68968
335,ASUS ZenBook Duo,Intel Core i5,16,64,512,35.56,79990
336,acer Aspire 5,Intel Core i5,8,64,1,39.62,55480
337,acer Swift 3,Intel Core i5,8,64,512,35.56,64990
338,Lenovo ThinkPad E15,Intel Core i5,8,64,1,33.78,45990
339,Nexstgo Core i5,Intel Core i7,4,64,512,35.56,97990
340,Avita Liber Core,Intel Core i7,16,64,512,39.62,40890
341,Nexstgo Core i5,Intel Core i5,8,64,512,39.62,79990
342,Lenovo ThinkPad Core,Intel Core i3,8,64,256,39.62,147000
343,Lenovo Ideapad S145,Intel Core i5,16,64,512,35.56,43990
344,ALIENWARE Core i7,Intel Core i7,8,64,512,33.78,174990
345,acer Predator Helios,Intel Core i5,16,64,1,39.62,116990
346,acer P2 Series,Intel Core i7,16,64,1,35.56,49090
347,DELL Inspiron Core,Intel Core i7,8,64,512,39.62,58232
348,Lenovo IdeaPad Gaming,Intel Core i5,8,64,1,33.78,63990
349,Lenovo IdeaPad Core,Intel Core i3,8,64,1,39.62,43990
350,MSI GL Core,AMD Ryzen 7,8,64,512,39.62,79990
351,HP 12b Celeron,Intel Core i5,8,64,1,35.56,29990
352,Vaio SE Series,Intel Core i5,4,64,256,33.78,59990
353,MSI GL65 Leopard,Intel Core i5,8,64,1,39.62,109990
354,MSI GL Core,Intel Core i5,16,64,512,39.62,95990
355,DELL Inspiron 15,Intel Core i3,8,64,1,33.78,83170
356,HP 15s Core,AMD Ryzen 5,8,64,1,35.56,44490
357,Avita Liber Core,Intel Core i7,8,64,1,35.56,40890
358,Lenovo ThinkPad Core,Intel Core i7,8,64,512,33.78,124990
359,ASUS ZenBook Classic,Intel Core i5,8,64,256,35.56,64990
360,Lenovo Ideapad S145,Intel Core i7,8,64,512,39.62,43990
361,acer Swift 5,Intel Core i5,8,64,256,35.56,97999
362,acer Predator Helios,Intel Core i5,16,64,512,39.62,116990
363,acer Aspire 5,Intel Core i7,16,64,1,39.62,61990
364,ASUS ExpertBook B9,Intel Core i3,8,64,1,35.56,167990
365,Lenovo Core i5,Intel Core i5,16,64,1,35.56,47990
366,Lenovo IdeaPad Core,Intel Core i5,8,64,1,39.62,43990
367,MICROSOFT Surface Go,Intel Core i7,8,64,1,35.56,38549
368,acer Swift 3,Intel Core i5,4,64,256,35.56,62990
369,MSI GP65 Leopard,Intel Core i5,8,64,512,35.56,104990
370,Lenovo Ideapad 130,Intel Core i5,16,64,1,33.78,29990
371,DELL Inspiron Core,Intel Core i3,4,64,1,39.62,67590
372,DELL Inspiron Core,Intel Core i5,8,64,512,39.62,73990
373,ASUS Pro P5,Intel Core i5,16,64,1,33.78,85990
374,HP 14a Celeron,AMD Ryzen 5,8,64,512,39.62,27990
375,acer Swift 3,Intel Core i5,4,64,512,35.56,68999
376,HP Pavilion x360,Intel Core i7,8,64,512,39.62,59990
377,ASUS ExpertBook B9,Intel Core i7,8,64,512,35.56,109990
378,Lenovo Ideapad S145,Intel Core i7,16,64,1,39.62,43990
379,ASUS Ryzen 5,Intel Core i3,8,64,256,30.48,39990
380,ASUS ZenBook Classic,AMD Ryzen 5,4,64,512,35.56,64990
381,DELL Core i3,Intel Core i5,8,64,1,39.62,45990
382,HP Core i3,Intel Core i5,16,64,1,39.62,38990
383,ASUS ZenBook Flip,Intel Core i5,4,64,512,39.62,85031
384,Lenovo IdeaPad Core,Intel Core i7,8,64,256,39.62,43990
385,ASUS Ryzen 5,Intel Core i7,8,64,512,35.56,59990
386,MSI GF65 Thin,AMD Ryzen 7,8,64,512,35.56,92990
387,HP 250 G7,Intel Core i5,16,64,512,35.56,38490
388,acer Swift 3,AMD Ryzen 7,16,64,1,39.62,72964
389,Lenovo Core i5,Intel Core i7,8,64,1,35.56,64715
390,acer Spin 7,Intel Core i3,8,64,256,35.56,119990
391,MSI GL65 Leopard,Intel Core i5,8,64,1,35.56,109990
392,Vaio E Series,Intel Core i5,16,64,512,39.62,57990
393,Lenovo X390 Core,Intel Core i7,8,64,512,39.62,120000
394,Lenovo Ideapad 5,Intel Core i7,16,64,512,39.62,60990
395,Lenovo Yoga S7,AMD Ryzen 5,8,64,1,35.56,129989
396,HP 15s Core,Intel Core i7,16,64,1,25.4,42190
397,Lenovo Ideapad S145,Intel Core i7,8,64,1,35.56,43990
398,ASUS ZenBook Flip,Intel Core i3,16,64,1,39.62,149990
399,acer Predator Helios,Intel Core i5,8,64,1,39.62,116990
400,ALIENWARE Core i7,Intel Core i3,16,64,1,35.56,243990
401,ALIENWARE Core i7,Intel Core i7,16,64,1,35.56,204990
402,ASUS Core i5,Intel Core i3,16,64,512,39.62,64299
403,DELL 3501 Core,Intel Core i5,4,64,1,35.56,48899
404,MSI GP65 Leopard,Intel Core i3,4,64,1,35.56,104990
405,HP Core i3,Intel Core i5,16,64,512,35.56,41990
406,Lenovo Core i9,AMD Ryzen 7,4,64,1,35.56,262999
407,DELL Inspiron Core,Intel Core i7,16,64,256,39.62,79490
408,ASUS Core i5,Intel Core i5,4,64,512,39.62,49990
409,Lenovo Ideapad 5,Intel Core i5,8,64,1,39.62,60990
410,Lenovo APU Dual,Intel Core i7,4,64,1,39.62,28990
411,ASUS TUF Dash,Intel Core i5,4,64,1,33.78,114990
412,Avita Liber Core,Intel Core i3,8,64,1,39.62,38990
413,ASUS ROG Zephyrus,AMD Ryzen 5,8,64,1,39.62,164990
414,acer Predator Helios,Intel Core i7,32,64,1,15.6,116990
415,ASUS Pro P5,Intel Core i7,16,64,1,39.62,64208
416,DELL VOSTRO 5401,Intel Core i5,8,64,256,39.62,79990
417,Lenovo IdeaPad Core,AMD Ryzen 5,8,64,512,39.62,43990
418,ASUS VivoBook S,AMD Ryzen 7,8,64,1,39.62,82990
419,MSI GL65 Leopard,Intel Core i5,16,64,512,39.62,109990
420,DELL Core i5,Intel Core i7,16,64,1,33.78,79999
421,ASUS Ryzen 5,Intel Core i5,8,64,512,35.56,41400
422,ASUS Vivobook Ultra,Intel Core i3,8,64,512,35.56,65990
423,ASUS ROG Flow,AMD Ryzen 5,8,64,1,39.62,149990
424,ASUS Vivobook Core,Intel Core i5,16,64,1,33.78,69990
425,ASUS ZenBook Pro,Intel Core i5,8,64,512,39.62,279990
426,Lenovo IdeaPad Core,Intel Core i3,32,64,256,35.56,62690
427,DELL Inspiron Core,Intel Core i7,8,64,256,33.78,52990
428,ASUS Vivobook 15,Intel Core i7,4,64,1,39.62,23480
429,acer NITRO 5,Intel Core i5,4,64,1,39.62,81900
430,DELL Inspiron Core,Intel Core i7,8,64,1,39.62,86990
431,HP 14s Core,Intel Core i3,8,64,512,39.62,51000
432,ASUS Vivobook S,Intel Core i7,8,64,1,35.56,87990
433,acer Predator Helios,AMD Ryzen 5,8,64,512,33.78,116990
434,DELL Inspiron Core,AMD Ryzen 3,16,64,1,35.56,77387
435,HP Ryzen 5,Intel Core i7,8,64,1,39.62,50000
436,acer Predator Helios,Intel Core i5,8,64,256,15.6,129000
437,Lenovo IdeaPad Core,Intel Core i7,16,64,512,39.62,43990
438,HP Envy x360,Intel Core i7,16,64,1,39.62,92500
439,ASUS Ryzen 3,Intel Core i7,8,64,1,39.62,33400
440,MSI GP65 Leopard,Intel Core i5,4,64,1,35.56,104990
441,HP Pavilion Gaming,Intel Core i5,16,64,1,39.62,93400
442,ASUS Ryzen 3,Intel Core i7,16,64,1,35.56,37900
443,MSI GL65 Leopard,AMD Ryzen 7,4,64,1,33.78,109990
444,DELL GAMING G5,Intel Core i5,12,64,1,35.56,79990
